id;id_prov;nama_kota;kode_kota;created_at;updated_at
161;12;KABUPATEN BOGOR;3201;2021-04-03 15:55:09;2021-04-03 15:55:09
162;12;KABUPATEN SUKABUMI;3202;2021-04-03 15:55:09;2021-04-03 15:55:09
163;12;KABUPATEN CIANJUR;3203;2021-04-03 15:55:09;2021-04-03 15:55:09
164;12;KABUPATEN BANDUNG;3204;2021-04-03 15:55:09;2021-04-03 15:55:09
165;12;KABUPATEN GARUT;3205;2021-04-03 15:55:09;2021-04-03 15:55:09
166;12;KABUPATEN TASIKMALAYA;3206;2021-04-03 15:55:09;2021-04-03 15:55:09
167;12;KABUPATEN CIAMIS;3207;2021-04-03 15:55:09;2021-04-03 15:55:09
168;12;KABUPATEN KUNINGAN;3208;2021-04-03 15:55:09;2021-04-03 15:55:09
169;12;KABUPATEN CIREBON;3209;2021-04-03 15:55:09;2021-04-03 15:55:09
170;12;KABUPATEN MAJALENGKA;3210;2021-04-03 15:55:09;2021-04-03 15:55:09
171;12;KABUPATEN SUMEDANG;3211;2021-04-03 15:55:09;2021-04-03 15:55:09
172;12;KABUPATEN INDRAMAYU;3212;2021-04-03 15:55:09;2021-04-03 15:55:09
173;12;KABUPATEN SUBANG;3213;2021-04-03 15:55:09;2021-04-03 15:55:09
174;12;KABUPATEN PURWAKARTA;3214;2021-04-03 15:55:09;2021-04-03 15:55:09
175;12;KABUPATEN KARAWANG;3215;2021-04-03 15:55:09;2021-04-03 15:55:09
176;12;KABUPATEN BEKASI;3216;2021-04-03 15:55:09;2021-04-03 15:55:09
177;12;KABUPATEN BANDUNG BARAT;3217;2021-04-03 15:55:09;2021-04-03 15:55:09
178;12;KABUPATEN PANGANDARAN;3218;2021-04-03 15:55:09;2021-04-03 15:55:09
179;12;KOTA BOGOR;3271;2021-04-03 15:55:09;2021-04-03 15:55:09
180;12;KOTA SUKABUMI;3272;2021-04-03 15:55:09;2021-04-03 15:55:09
181;12;KOTA BANDUNG;3273;2021-04-03 15:55:09;2021-04-03 15:55:09
182;12;KOTA CIREBON;3274;2021-04-03 15:55:09;2021-04-03 15:55:09
183;12;KOTA BEKASI;3275;2021-04-03 15:55:09;2021-04-03 15:55:09
184;12;KOTA DEPOK;3276;2021-04-03 15:55:09;2021-04-03 15:55:09
185;12;KOTA CIMAHI;3277;2021-04-03 15:55:09;2021-04-03 15:55:09
186;12;KOTA TASIKMALAYA;3278;2021-04-03 15:55:09;2021-04-03 15:55:09
187;12;KOTA BANJAR;3279;2021-04-03 15:55:09;2021-04-03 15:55:09
188;13;KABUPATEN CILACAP;3301;2021-04-03 15:55:09;2021-04-03 15:55:09
189;13;KABUPATEN BANYUMAS;3302;2021-04-03 15:55:09;2021-04-03 15:55:09
190;13;KABUPATEN PURBALINGGA;3303;2021-04-03 15:55:09;2021-04-03 15:55:09
191;13;KABUPATEN BANJARNEGARA;3304;2021-04-03 15:55:09;2021-04-03 15:55:09
192;13;KABUPATEN KEBUMEN;3305;2021-04-03 15:55:09;2021-04-03 15:55:09
193;13;KABUPATEN PURWOREJO;3306;2021-04-03 15:55:09;2021-04-03 15:55:09
194;13;KABUPATEN WONOSOBO;3307;2021-04-03 15:55:09;2021-04-03 15:55:09
195;13;KABUPATEN MAGELANG;3308;2021-04-03 15:55:09;2021-04-03 15:55:09
196;13;KABUPATEN BOYOLALI;3309;2021-04-03 15:55:09;2021-04-03 15:55:09
197;13;KABUPATEN KLATEN;3310;2021-04-03 15:55:09;2021-04-03 15:55:09
198;13;KABUPATEN SUKOHARJO;3311;2021-04-03 15:55:09;2021-04-03 15:55:09
199;13;KABUPATEN WONOGIRI;3312;2021-04-03 15:55:09;2021-04-03 15:55:09
200;13;KABUPATEN KARANGANYAR;3313;2021-04-03 15:55:09;2021-04-03 15:55:09
201;13;KABUPATEN SRAGEN;3314;2021-04-03 15:55:09;2021-04-03 15:55:09
202;13;KABUPATEN GROBOGAN;3315;2021-04-03 15:55:09;2021-04-03 15:55:09
203;13;KABUPATEN BLORA;3316;2021-04-03 15:55:09;2021-04-03 15:55:09
204;13;KABUPATEN REMBANG;3317;2021-04-03 15:55:09;2021-04-03 15:55:09
205;13;KABUPATEN PATI;3318;2021-04-03 15:55:09;2021-04-03 15:55:09
206;13;KABUPATEN KUDUS;3319;2021-04-03 15:55:09;2021-04-03 15:55:09
